SQL> col trigger_name for a30
col table_name for a30
select trigger_name,table_name,status from dba_triggers where owner='PSPADM' SQL> SQL> ;

TRIGGER_NAME		       TABLE_NAME		      STATUS
------------------------------ ------------------------------ --------
PSP_COMPANY_LAW_AT	       PSP_COMPANY_LAW		      ENABLED
PSP_COMPANY_OFFER_AT	       PSP_COMPANY_OFFER	      ENABLED
TR_UPD_COMPANY_EVENT_TIMESTAMP PSP_COMPANY_EVENT	      ENABLED
TR_UPD_DD_LIMITS	       PSP_PROPERTY_AUDIT	      ENABLED
PSP_BPCOMPANY_SERVICE_INFO_AT  PSP_BPCOMPANY_SERVICE_INFO     ENABLED
PSP_CMPMTMPLT_PMTMTD_AT        PSP_COMP_PMTTEMPLATE_PMTMETHOD ENABLED
PSP_COMPANY_AT		       PSP_COMPANY		      ENABLED
PSP_DDCOMPANY_SERVICE_INFO_AT  PSP_DDCOMPANY_SERVICE_INFO     ENABLED
PSP_EMPLOYEE_AT 	       PSP_EMPLOYEE		      ENABLED
TR_UPD_COMPANY_EVNT_TIMESTAMP  PSP_COMPANY_EVENT	      ENABLED
TR_UPD_INTUIT_TAX_BANK_ACCT    PSP_BANK_ACCOUNT 	      ENABLED
PSP_QUICKBOOKS_INFO_AT	       PSP_QUICKBOOKS_INFO	      ENABLED
PSP_TAX_CS_INFO_AT	       PSP_TAX_COMPANY_SERVICE_INFO   ENABLED
PSP_COMPANY_SERVICE_AT	       PSP_COMPANY_SERVICE	      ENABLED
PSP_CONTACT_AT		       PSP_CONTACT		      ENABLED
PSP_MONEY_MVMT_TRANS_AT        PSP_MONEY_MOVEMENT_TRANSACTION ENABLED
PSP_ADDRESS_AT		       PSP_ADDRESS		      ENABLED
PSP_TAX_PENALTY_INTEREST_AT    PSP_TAX_PENALTY_INTEREST       ENABLED
PSP_INDIVIDUAL_AT	       PSP_INDIVIDUAL		      ENABLED
PSP_CMPNYAGENCY_PMTTPLT_AT     PSP_COMPANYAGENCY_PMTTEMPLATE  ENABLED
PSP_ENTITY_CHANGE_AT	       PSP_ENTITY_CHANGE	      ENABLED
PSP_COMPANY_PAYROLL_ITEM_AT    PSP_COMPANY_PAYROLL_ITEM       ENABLED
PSP_COMPANY_BANK_ACCOUNT_AT    PSP_COMPANY_BANK_ACCOUNT       ENABLED
PSP_COMPANY_AGENCY_AT	       PSP_COMPANY_AGENCY	      ENABLED

24 rows selected.

SQL> 

